Timestamp,HeadPositionX,HeadPositionY,HeadPositionZ,HeadRotationX,HeadRotationY,HeadRotationZ
2024-07-31 16:47:39,0.0255,1.0949,0.0502,20.7574,6.8672,0.6719
2024-07-31 16:47:41,0.4815,1.1011,-0.1586,17.9198,344.8428,5.8132
2024-07-31 16:47:43,0.4979,1.0972,-0.1342,21.9463,343.3004,3.7845
2024-07-31 16:47:45,0.4940,1.0969,-0.1361,21.7836,341.7207,3.4165
2024-07-31 16:47:47,0.4718,1.1023,-0.1538,17.9204,339.4390,6.5241
2024-07-31 16:47:49,0.5294,1.0953,-0.1375,23.1180,7.3402,9.1024
2024-07-31 16:47:51,0.6267,1.1229,-0.1531,15.2398,7.0287,354.6362
2024-07-31 16:47:53,0.5455,1.1193,-0.1452,15.8286,344.1629,0.6634
2024-07-31 16:47:55,0.5933,1.1082,-0.1335,21.0743,8.9838,1.6084
2024-07-31 16:47:57,0.5760,1.1213,-0.1466,15.3864,352.4010,0.2034
2024-07-31 16:47:59,0.5513,1.1607,-0.2290,358.1003,270.6163,359.0047
2024-07-31 16:48:01,0.6037,1.1667,-0.2017,356.6007,289.4699,2.1525
2024-07-31 16:48:03,0.6626,1.1516,-0.2103,358.5277,47.4863,0.6528
2024-07-31 16:48:05,0.6608,1.1512,-0.2094,359.1426,35.5258,357.5104
2024-07-31 16:48:07,0.6481,1.1492,-0.2016,0.7908,24.5665,357.6075
2024-07-31 16:48:09,0.5881,1.1524,-0.2069,358.5102,321.3929,357.8617
2024-07-31 16:48:11,0.6187,1.1552,-0.2271,357.7971,292.3536,355.9877
2024-07-31 16:48:13,0.6137,1.1370,-0.1830,9.1174,331.9405,358.7431
2024-07-31 16:48:15,0.5460,1.1338,-0.1822,8.8654,335.2332,2.8627
2024-07-31 16:50:30,-0.0056,1.1168,-0.0129,9.3106,7.2674,5.4439
2024-07-31 16:50:32,0.4997,1.1115,-0.1961,13.2263,1.8679,1.8071
2024-08-01 10:38:01,-0.0937,1.1640,0.0667,21.6108,11.7131,4.7864
2024-08-01 10:38:03,0.1137,1.1622,0.1750,21.7986,319.5623,12.8999
2024-08-01 10:38:05,0.0968,1.1589,0.1621,21.2244,319.4492,12.7293
2024-08-01 10:38:07,0.1008,1.1534,0.1785,23.7623,323.3344,11.7224
2024-08-01 10:38:09,0.1040,1.1511,0.1842,24.5468,323.6915,11.0196
2024-08-01 10:38:11,0.1038,1.1498,0.1874,25.0178,323.6464,10.7345
2024-08-01 10:38:13,0.1172,1.1497,0.1895,25.7182,323.2700,9.9923
2024-08-01 10:38:15,0.1777,1.1594,0.2209,23.8143,317.8716,5.6856
2024-08-01 10:38:17,0.1672,1.1533,0.2202,25.3590,318.0790,6.6693
2024-08-01 10:38:19,0.1643,1.1494,0.2221,26.6388,318.0339,6.7096
2024-08-01 10:38:21,0.1537,1.1450,0.2222,27.8247,318.9771,7.9995
2024-08-01 10:38:23,0.1543,1.1554,0.1674,22.8031,319.2094,10.4790
2024-08-01 10:38:25,0.1537,1.1511,0.1812,24.4868,318.7867,9.4549
2024-08-01 10:38:27,0.1483,1.1559,0.1605,21.1392,318.2236,10.6222
2024-08-01 10:38:29,0.1464,1.1554,0.1647,21.6330,314.7769,9.1078
2024-08-01 10:38:31,0.1405,1.1640,0.1341,18.3036,301.0219,6.8735
2024-08-01 10:51:49,-0.0176,1.1520,0.0362,21.4793,351.1098,5.9217
2024-08-01 10:51:51,0.0915,1.1434,0.1366,24.2790,317.5392,14.3251
2024-08-01 10:51:53,0.2622,1.1643,0.2369,19.7839,304.0331,356.6418
2024-08-01 10:51:55,0.2429,1.1498,0.2381,23.4495,305.2475,0.0004
2024-08-01 10:51:57,0.2335,1.1615,0.1784,17.1024,284.4441,358.8127
2024-08-01 10:51:59,0.2367,1.1680,0.1704,11.9676,272.4173,353.8388
2024-08-01 10:52:01,0.2358,1.1661,0.1632,14.0858,270.2880,354.9840
2024-08-01 10:52:03,0.2402,1.1642,0.2045,14.4603,301.5693,1.2007
2024-08-01 10:52:05,0.2279,1.1627,0.1568,15.7651,269.3021,357.2586
2024-08-01 10:52:07,0.2228,1.1582,0.1375,16.8392,268.2563,0.2427
2024-08-01 10:52:09,0.2232,1.1563,0.1466,17.5059,270.4598,359.7729
2024-08-01 10:52:11,0.2088,1.1570,0.1438,15.6753,272.5089,359.6633
2024-08-01 10:52:13,0.2130,1.1571,0.1459,15.6143,274.1637,0.2343
2024-08-01 10:52:15,0.2387,1.1574,0.1933,15.0492,313.9391,4.7210
2024-08-01 10:52:17,0.2378,1.1576,0.1936,15.7080,310.8191,3.7071
2024-08-01 10:52:19,0.2365,1.1578,0.1914,15.5989,309.3654,3.3268
2024-08-01 10:52:21,0.2325,1.1593,0.1843,15.1644,303.6469,3.3696
2024-08-01 10:52:23,0.2584,1.1669,0.0865,7.8799,225.7401,354.6329
2024-08-01 10:52:25,0.2850,1.1748,0.0509,3.7493,212.6273,358.7625
2024-08-01 10:52:27,0.2837,1.1738,0.0504,4.3012,214.2266,358.8358
2024-08-01 10:52:29,0.2212,1.1573,0.1322,13.4882,268.0278,359.1000
2024-08-01 10:52:31,0.2025,1.1515,0.1207,17.0959,271.6565,359.0022
2024-08-01 10:52:33,0.2021,1.1502,0.1254,17.7369,272.0620,358.2557
2024-08-01 10:52:35,0.2020,1.1507,0.1247,17.7941,272.5501,358.3582
2024-08-01 10:52:37,0.2017,1.1515,0.1212,17.4811,272.1356,359.0581
2024-08-01 10:52:39,0.2014,1.1517,0.1186,17.1920,271.9458,359.6432
2024-08-01 11:06:15,0.0535,1.1453,0.0513,25.6049,354.6597,356.0215
2024-08-01 11:06:20,0.1823,1.1614,0.1090,19.4077,288.4781,4.0808
2024-08-01 11:06:25,0.1102,1.1225,0.1655,30.5338,269.9718,358.9901
2024-08-01 11:06:30,0.2139,1.1741,0.1574,14.9146,270.6537,0.3578
2024-08-01 11:06:35,0.2660,1.1818,0.1555,9.0442,272.0506,359.7310
2024-08-01 11:06:40,0.2769,1.1723,0.2072,12.7420,312.8206,3.1477
2024-08-01 11:06:45,0.2828,1.1764,0.0648,9.9095,229.4925,356.2447
2024-08-01 11:06:50,0.2593,1.1717,0.1250,13.7835,263.1794,357.3947
2024-08-01 11:06:55,0.2580,1.1691,0.1319,14.6696,264.8153,357.1670
2024-08-01 11:11:41,0.0015,1.1858,-0.0646,11.6094,357.3512,357.7700
2024-08-01 11:11:46,0.2102,1.1857,0.1286,10.9081,268.2171,357.3613
2024-08-01 11:11:51,0.2144,1.1849,0.1292,10.5591,268.0694,357.5186
2024-08-01 11:11:56,0.2140,1.1834,0.1346,11.8054,274.0077,358.9795
2024-08-01 11:12:01,0.1735,1.1645,0.1242,18.3276,269.4801,358.0060
2024-08-01 11:12:06,0.1765,1.1566,0.1415,18.8324,303.5531,7.9048
2024-08-01 11:12:11,0.1589,1.1609,0.1259,16.2413,258.5145,353.1370
2024-08-01 11:12:16,0.1646,1.1581,0.1335,19.5687,267.7441,355.6015
2024-08-01 11:12:21,0.1715,1.1590,0.1179,21.7340,273.3826,1.4502
2024-08-01 11:12:26,0.1786,1.1576,0.1187,18.8955,294.9785,7.7727
2024-08-01 11:12:31,0.1683,1.1610,0.0952,17.2739,271.8926,1.5034
2024-08-01 11:12:39,0.0255,1.1650,0.0004,15.0164,0.1868,356.7807
2024-08-01 11:12:45,0.1710,1.1643,0.1172,15.0539,272.2845,356.8066
2024-08-01 11:12:50,0.1716,1.1639,0.1168,15.1025,272.5284,356.9221
2024-08-01 11:12:55,0.1812,1.1634,0.1857,11.6451,329.6479,7.0175
2024-08-01 11:13:00,0.1826,1.1633,0.1837,11.3593,330.1822,6.3965
2024-08-01 11:13:05,0.1828,1.1641,0.1781,10.7035,328.6757,6.6254
